+-----+------------+----------+-----------+-----+-------------+-----------------+---------------+----------------------+--------------------+---------------------+-------------------+-------------------+------------------+
| did | num_values | iomethod | ioworkers | eic | query_order | master_uncached | master_cached | patched_off_uncached | patched_off_cached | patched_on_uncached | patched_on_cached | patched_off_coeff | patched_on_coeff |
| 10  | 8          | io_uring | 12        | 16  | asc         | 1.6886          | 0.065         | 1.8582               | 0.0756             | 2.0734              | 0.0652            | 110.043823285562  | 122.788108492242 |
| 16  | 1          | io_uring | 12        | 16  | asc         | 0.8444          | 0.051         | 0.9624               | 0.0422             | 1.0358              | 0.0544            | 113.9744197063    | 122.666982472762 |
| 21  | 8          | io_uring | 12        | 16  | desc        | 2.4466          | 0.0722        | 2.6338               | 0.082              | 3.001               | 0.075             | 107.651434643996  | 122.660017984141 |
| 8   | 1          | io_uring | 12        | 16  | desc        | 0.8892          | 0.044         | 1.1                  | 0.0462             | 1.0904              | 0.0454            | 123.706702654071  | 122.627080521817 |
| 1   | 16         | io_uring | 12        | 16  | asc         | 2.2688          | 0.1418        | 2.677                | 0.1528             | 2.7768              | 0.1518            | 117.991889985896  | 122.390691114245 |
| 14  | 4096       | worker   | 12        | 16  | asc         | 5.2756          | 1.1152        | 5.6092               | 1.194              | 6.4506              | 1.1922            | 106.323451360983  | 122.272348168929 |
| 17  | 1          | worker   | 12        | 16  | desc        | 0.9084          | 0.0552        | 1.077                | 0.0508             | 1.1102              | 0.0516            | 118.560105680317  | 122.214883311317 |
| 25  | 4096       | worker   | 12        | 16  | asc         | 5.088           | 1.086         | 5.419                | 1.1278             | 6.2112              | 1.2512            | 106.505503144654  | 122.075471698113 |
| 16  | 8          | io_uring | 12        | 16  | asc         | 1.439           | 0.0622        | 1.5258               | 0.0524             | 1.753               | 0.0582            | 106.031966643502  | 121.820708825573 |
| 13  | 1          | worker   | 12        | 16  | asc         | 0.8328          | 0.0484        | 0.8958               | 0.0484             | 1.0132              | 0.0418            | 107.564841498559  | 121.661863592699 |
| 5   | 3024288    | io_uring | 12        | 16  | asc         | 2394.3862       | 1806.1176     | 2389.7732            | 1841.5488          | 2912.052            | 1725.0012         | 99.8073410212605  | 121.619979266503 |
| 5   | 8          | worker   | 12        | 16  | asc         | 2.1318          | 0.077         | 2.3602               | 0.076              | 2.5904              | 0.0632            | 110.713950652031  | 121.512336992213 |
| 12  | 256        | worker   | 12        | 16  | asc         | 3.105           | 0.217         | 3.6184               | 0.2348             | 3.7728              | 0.2608            | 116.5346215781    | 121.507246376812 |
| 28  | 32         | worker   | 12        | 16  | asc         | 2.2792          | 0.0874        | 2.5864               | 0.0892             | 2.7688              | 0.0756            | 113.478413478413  | 121.481221481221 |
| 25  | 32768      | worker   | 12        | 16  | asc         | 15.0516         | 7.7294        | 15.7172              | 7.791              | 18.275              | 8.0048            | 104.422121236281  | 121.415663451062 |
| 11  | 64         | worker   | 12        | 16  | asc         | 2.5734          | 0.117         | 3.1554               | 0.1048             | 3.1196              | 0.1172            | 122.61599440429   | 121.224838734748 |
| 28  | 2048       | worker   | 12        | 16  | asc         | 5.2656          | 0.5862        | 6.255                | 0.6638             | 6.3784              | 0.6952            | 118.789881494986  | 121.133394105135 |
| 24  | 8192       | worker   | 12        | 16  | desc        | 13.2548         | 7.3348        | 13.714               | 7.4112             | 16.0402             | 7.6944            | 103.464405347497  | 121.014274074298 |
| 4   | 32         | worker   | 12        | 16  | desc        | 2.6856          | 0.203         | 2.9144               | 0.227              | 3.248               | 0.2914            | 108.519511468573  | 120.941316651772 |
| 18  | 1          | worker   | 12        | 16  | asc         | 1.0072          | 0.0526        | 1.5008               | 0.0484             | 1.2172              | 0.0488            | 149.00714853058   | 120.849880857824 |
| 19  | 1          | worker   | 12        | 16  | desc        | 1.0318          | 0.0496        | 1.1694               | 0.047              | 1.2468              | 0.0476            | 113.33591781353   | 120.83737158364  |
| 17  | 4          | io_uring | 12        | 16  | desc        | 1.2818          | 0.0628        | 1.715                | 0.0688             | 1.5486              | 0.0686            | 133.796224059916  | 120.814479638009 |
| 9   | 1024       | worker   | 12        | 16  | asc         | 3.4018          | 0.5726        | 3.8386               | 0.59               | 4.109               | 0.6354            | 112.840261038274  | 120.788994061967 |
| 24  | 1024       | worker   | 12        | 16  | desc        | 3.9308          | 1.0036        | 4.1436               | 1.1868             | 4.7472              | 1.1396            | 105.41365625318   | 120.769309046505 |
| 1   | 64         | worker   | 12        | 16  | asc         | 2.9252          | 0.348         | 3.3888               | 0.3688             | 3.5302              | 0.356             | 115.848488992206  | 120.682346506222 |
| 1   | 128        | io_uring | 12        | 16  | asc         | 3.2082          | 0.6064        | 3.4984               | 0.5642             | 3.8698              | 0.67              | 109.045570725017  | 120.622155725952 |
| 22  | 4096       | worker   | 12        | 16  | asc         | 10.9212         | 3.7592        | 10.52                | 4.2326             | 13.1534             | 4.398             | 96.3264110171043  | 120.439145881405 |
| 11  | 1024       | worker   | 12        | 16  | asc         | 4.8804          | 0.7776        | 5.0674               | 0.5568             | 5.8714              | 0.6876            | 103.831653143185  | 120.305712646504 |
| 21  | 8192       | worker   | 12        | 16  | asc         | 13.8114         | 7.5022        | 13.5216              | 7.3618             | 16.6082             | 8.021             | 97.9017333507103  | 120.249938456637 |
| 4   | 2048       | worker   | 12        | 16  | desc        | 13.8922         | 7.91          | 14.446               | 7.3632             | 16.678              | 7.9848            | 103.986409639942  | 120.052979369718 |
| 25  | 256        | worker   | 12        | 16  | desc        | 3.2374          | 0.1506        | 3.6064               | 0.1774             | 3.8864              | 0.2076            | 111.398035460555  | 120.046951257182 |
| 21  | 4          | io_uring | 12        | 16  | asc         | 1.7494          | 0.0652        | 2.0162               | 0.0666             | 2.099               | 0.0622            | 115.250943180519  | 119.983994512404 |
| 17  | 4          | worker   | 12        | 16  | asc         | 1.4146          | 0.0618        | 1.511                | 0.071              | 1.6964              | 0.0608            | 106.814647250106  | 119.920825675103 |
| 28  | 4096       | worker   | 12        | 16  | desc        | 5.0366          | 1.0956        | 5.098                | 1.2132             | 6.026               | 1.2678            | 101.219076361037  | 119.644204423619 |
| 11  | 2048       | worker   | 12        | 16  | desc        | 5.2026          | 1.1772        | 5.7026               | 1.0226             | 6.2246              | 1.137             | 109.610579325722  | 119.644024141775 |
| 8   | 524288     | worker   | 12        | 16  | desc        | 422.4852        | 317.5894      | 419.226              | 314.0126           | 505.426             | 325.5522          | 99.2285646929171  | 119.631646268319 |
| 8   | 1          | worker   | 12        | 16  | desc        | 0.9394          | 0.0474        | 1.119                | 0.0424             | 1.123               | 0.0468            | 119.118586331701  | 119.544390036193 |
| 10  | 1          | io_uring | 12        | 16  | asc         | 0.9048          | 0.0456        | 1.0164               | 0.0446             | 1.081               | 0.0456            | 112.334217506631  | 119.47391688771  |
| 3   | 64         | worker   | 12        | 16  | desc        | 4.1766          | 0.361         | 4.2622               | 0.3734             | 4.9824              | 0.3736            | 102.049513958722  | 119.293204999282 |
| 11  | 1          | worker   | 12        | 16  | asc         | 0.9378          | 0.044         | 1.227                | 0.0518             | 1.118               | 0.0456            | 130.838131797825  | 119.215184474302 |
| 21  | 1024       | worker   | 12        | 16  | asc         | 4.4782          | 1.039         | 4.4404               | 1.0996             | 5.3386              | 1.2196            | 99.1559108570408  | 119.213076682596 |
